realization	alpha	beta	mu	mu_low	lambda	delta	lambda_tilde	violation
12925	1.4142	1.4142	2.0711	-5.0000	0.2767	0.4142	0.0553	False
12926	1.4142	1.4142	2.8995	-7.0000	0.0224	0.4142	0.0032	False
12927	0.7071	0.7071	-0.5858	-2.0000	-0.1440	-0.2929	-0.0720	False
12928	1.4142	1.4142	4.1421	-10.0000	0.2654	0.4142	0.0265	False
12929	1.4142	1.4142	2.0711	-5.0000	0.1142	0.4142	0.0228	False
12930	1.8084	1.8084	4.8506	-6.0000	0.4857	0.8084	0.0809	False
12931	2.0000	2.0000	3.0000	-3.0000	0.3436	1.0000	0.1145	False
12932	1.0000	1.0000	0.0000	-5.0000	-0.1982	-0.0000	-0.0396	False
12933	1.0000	1.0000	0.0000	-6.0000	-0.2369	0.0000	-0.0395	False
12934	1.5214	1.5214	2.6069	-5.0000	0.0844	0.5214	0.0169	False
12935	1.5098	1.5098	1.0195	-2.0000	0.1261	0.5098	0.0630	False
12936	2.0000	2.0000	4.0000	-4.0000	0.3282	1.0000	0.0820	False
12937	1.4142	1.4142	2.4853	-6.0000	-0.0512	0.4142	-0.0085	False
12938	2.0000	2.0000	5.0000	-5.0000	0.0444	1.0000	0.0089	False
12939	1.1787	1.1787	1.6085	-9.0000	0.0000	0.1787	0.0000	False
12940	1.0000	1.0000	0.0000	-4.0000	-0.0000	0.0000	-0.0000	False
12941	0.7754	0.7754	-1.1229	-5.0000	0.0000	-0.2246	0.0000	False
12942	1.4142	1.4142	1.6569	-4.0000	-0.2539	0.4142	-0.0635	False
12943	2.0000	2.0000	6.0000	-6.0000	0.3346	1.0000	0.0558	False
12944	1.0000	1.0000	0.0000	-3.0000	-0.2034	-0.0000	-0.0678	False
12945	1.4142	0.7937	2.0711	-5.0000	0.1609	0.4142	0.0322	False
12946	1.7321	1.7321	2.1962	-3.0000	0.2218	0.7321	0.0739	False
12947	1.4142	1.4142	1.6569	-4.0000	0.1553	0.4142	0.0388	False
12948	1.5480	1.5480	1.6439	-3.0000	0.0548	0.5480	0.0183	False
12949	1.4142	1.4142	2.4853	-6.0000	0.1269	0.4142	0.0211	False
12950	1.3247	1.3247	1.9483	-6.0000	0.0001	0.3247	0.0000	False
12951	1.4142	1.4142	1.2426	-3.0000	0.3648	0.4142	0.1216	False
